timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1777400989,1,0,1,0,9351128
1777400990,2,0,2,0,12539782
1777400991,3,0,3,0,13606121
1777400992,4,0,4,0,13360657
1777400993,5,0,5,0,13833491
1777400994,6,0,6,0,14468826
1777400995,7,0,7,0,14388843
1777400996,8,0,8,0,13960242
1777400997,9,0,9,0,13573304
1777400998,10,0,10,0,13438334
1777400999,11,0,11,0,13259494
1777401000,12,0,12,0,14011093
1777401001,13,0,13,0,13803528
1777401002,14,0,14,0,13883953
1777401003,15,0,15,0,13721491
1777401004,16,0,16,0,13581651
1777401005,2137,34,2103,0,56331283
1777401006,8601,46,8555,0,40430421
1777401007,15499,152,15347,0,38081894
1777401008,22108,79,22029,0,43589116
1777401009,28694,104,28591,0,42410675
1777401010,35503,134,35369,0,39850969
1777401011,42117,52,42065,0,39878582
1777401012,48811,61,48750,0,39703491
1777401013,55603,157,55446,0,39683570
1777401014,62106,52,62054,0,39343350
1777401015,68791,12,68779,0,38879314
1777401016,75381,38,75343,0,38016921
1777401017,81649,91,81558,0,38446478
1777401018,88539,167,88373,0,37686913
1777401019,95126,74,95052,0,37664351
1777401020,100188,0,99140,1048,37244494
1777401021,100189,0,99141,1048,37244251
1777401022,100190,0,99142,1048,37243981
1777401023,100191,0,99143,1048,37243746
1777401024,100192,0,99144,1048,37243482
1777401025,100193,0,99145,1048,37243220
1777401026,100194,0,99146,1048,37242998
1777401027,100195,0,99147,1048,37242716
1777401028,100196,0,99148,1048,37242481
1777401029,100197,0,99149,1048,37242311
1777401030,100198,0,99150,1048,37242056
1777401031,100199,0,99151,1048,37241796
1777401032,100200,0,99152,1048,37241537
1777401033,100201,0,99153,1048,37241270
1777401034,100202,0,99154,1048,37241017
1777401035,100203,0,99155,1048,37240941
1777401036,100203,0,99155,1048,37240941
1777401037,100203,0,99155,1048,37240941
1777401038,100203,0,99155,1048,37240941
1777401039,100203,0,99155,1048,37240941
1777401040,100203,0,99155,1048,37240941
1777401041,100203,0,99155,1048,37240941
1777401042,100203,0,99155,1048,37240941
1777401043,100203,0,99155,1048,37240941
1777401044,100203,0,99155,1048,37240941
1777401045,100203,0,99155,1048,37240941
1777401046,100203,0,99155,1048,37240941
1777401047,100203,0,99155,1048,37240941
1777401048,100203,0,99155,1048,37240941
1777401049,100203,0,99155,1048,37240941
1777401050,100203,0,99155,1048,37240941
1777401051,100203,0,99155,1048,37240941
1777401052,100203,0,99155,1048,37240941
1777401053,100203,0,99155,1048,37240941
1777401054,100203,0,99155,1048,37240941
1777401055,100203,0,99155,1048,37240941
1777401056,100203,0,99155,1048,37240941
1777401057,100203,0,99155,1048,37240941
1777401058,100203,0,99155,1048,37240941
1777401059,100203,0,99155,1048,37240941
1777401060,100203,0,99155,1048,37240941
1777401061,100203,0,99155,1048,37240941
1777401062,100203,0,99155,1048,37240941
1777401063,100203,0,99155,1048,37240941
1777401064,100203,0,99155,1048,37240941
1777401065,100203,0,99155,1048,37240941
1777401066,100203,0,99155,1048,37240941
1777401067,100203,0,99155,1048,37240941
1777401068,100203,0,99155,1048,37240941
1777401069,100203,0,99155,1048,37240941
1777401070,100203,0,99155,1048,37240941
1777401071,100203,0,99155,1048,37240941
1777401072,100203,0,99155,1048,37240941
1777401073,100203,0,99155,1048,37240941
1777401074,100203,0,99155,1048,37240941
1777401075,100203,0,99155,1048,37240941
1777401076,100203,0,99155,1048,37240941
1777401077,100203,0,99155,1048,37240941
1777401078,100203,0,99155,1048,37240941
1777401079,100203,0,99155,1048,37240941
1777401080,100203,0,99155,1048,37240941
1777401081,100203,0,99155,1048,37240941
1777401082,100203,0,99155,1048,37240941
1777401083,100203,0,99155,1048,37240941
1777401084,100203,0,99155,1048,37240941
1777401085,100203,0,99155,1048,37240941
1777401086,100203,0,99155,1048,37240941
1777401087,100203,0,99155,1048,37240941
1777401088,100203,0,99155,1048,37240941
1777401089,100203,0,99155,1048,37240941
1777401090,100203,0,99155,1048,37240941
1777401091,100203,0,99155,1048,37240941
1777401092,100203,0,99155,1048,37240941
1777401093,100203,0,99155,1048,37240941
1777401094,100203,0,99155,1048,37240941
1777401095,100203,0,99155,1048,37240941
1777401096,100203,0,99155,1048,37240941
1777401097,100203,0,99155,1048,37240941
1777401098,100203,0,99155,1048,37240941
1777401099,100203,0,99155,1048,37240941
1777401100,100203,0,99155,1048,37240941
1777401101,100203,0,99155,1048,37240941
1777401102,100203,0,99155,1048,37240941
1777401103,100203,0,99155,1048,37240941
1777401104,100203,0,99155,1048,37240941
1777401105,100203,0,99155,1048,37240941
1777401106,100203,0,99155,1048,37240941
1777401107,100203,0,99155,1048,37240941
1777401108,100203,0,99155,1048,37240941
1777401109,100203,0,99155,1048,37240941
1777401110,100203,0,99155,1048,37240941
1777401111,100203,0,99155,1048,37240941
1777401112,100203,0,99155,1048,37240941
1777401113,100203,0,99155,1048,37240941
1777401114,100203,0,99155,1048,37240941
1777401115,100203,0,99155,1048,37240941
1777401116,100203,0,99155,1048,37240941
1777401117,100203,0,99155,1048,37240941
1777401118,100203,0,99155,1048,37240941
1777401119,100203,0,99155,1048,37240941
1777401120,100203,0,99155,1048,37240941
1777401121,100203,0,99155,1048,37240941
1777401122,100203,0,99155,1048,37240941
1777401123,100203,0,99155,1048,37240941
1777401124,100203,0,99155,1048,37240941
1777401125,100203,0,99155,1048,37240941
1777401126,100203,0,99155,1048,37240941
1777401127,100203,0,99155,1048,37240941
1777401128,100203,0,99155,1048,37240941
1777401129,100203,0,99155,1048,37240941
1777401130,100203,0,99155,1048,37240941
1777401131,100203,0,99155,1048,37240941
1777401132,100203,0,99155,1048,37240941
1777401133,100203,0,99155,1048,37240941
1777401134,100203,0,99155,1048,37240941
1777401135,100203,0,99155,1048,37240941
1777401136,100203,0,99155,1048,37240941
1777401137,100203,0,99155,1048,37240941
1777401138,100203,0,99155,1048,37240941
1777401139,100203,0,99155,1048,37240941
1777401140,100203,0,99155,1048,37240941
1777401141,100203,0,99155,1048,37240941
1777401142,100203,0,99155,1048,37240941
1777401143,100203,0,99155,1048,37240941
1777401144,100203,0,99155,1048,37240941
1777401145,100203,0,99155,1048,37240941
1777401146,100203,0,99155,1048,37240941
1777401147,100203,0,99155,1048,37240941
1777401148,100203,0,99155,1048,37240941
1777401149,100203,0,99155,1048,37240941
1777401150,100203,0,99155,1048,37240941
1777401151,100203,0,99155,1048,37240941
1777401152,100203,0,99155,1048,37240941
1777401153,100203,0,99155,1048,37240941
1777401154,100203,0,99155,1048,37240941
1777401155,100203,0,99155,1048,37240941
1777401156,100203,0,99155,1048,37240941
1777401157,100203,0,99155,1048,37240941
1777401158,100203,0,99155,1048,37240941
1777401159,100203,0,99155,1048,37240941
1777401160,100203,0,99155,1048,37240941
1777401161,100203,0,99155,1048,37240941
1777401162,100203,0,99155,1048,37240941
1777401163,100203,0,99155,1048,37240941
1777401164,100203,0,99155,1048,37240941
1777401165,100203,0,99155,1048,37240941
1777401166,100203,0,99155,1048,37240941
1777401167,100203,0,99155,1048,37240941
1777401168,100203,0,99155,1048,37240941
1777401169,100203,0,99155,1048,37240941
1777401170,100203,0,99155,1048,37240941
1777401171,100203,0,99155,1048,37240941
1777401172,100203,0,99155,1048,37240941
1777401173,100203,0,99155,1048,37240941
1777401174,100203,0,99155,1048,37240941
1777401175,100203,0,99155,1048,37240941
1777401176,100203,0,99155,1048,37240941
1777401177,100203,0,99155,1048,37240941
1777401178,100203,0,99155,1048,37240941
1777401179,100203,0,99155,1048,37240941
1777401180,100203,0,99155,1048,37240941
1777401181,100203,0,99155,1048,37240941
1777401182,100203,0,99155,1048,37240941
1777401183,100203,0,99155,1048,37240941
1777401184,100203,0,99155,1048,37240941
1777401185,100203,0,99155,1048,37240941
1777401186,100203,0,99155,1048,37240941
