timestamp,total_connections,active_connections,successful_handshakes,failed_handshakes,avg_handshake_cycles
1776274534,0,0,0,0,0
1776274535,0,0,0,0,0
1776274536,1,0,1,0,5491068
1776274537,2,0,2,0,6758928
1776274538,3,0,3,0,7028912
1776274539,4,0,4,0,7365616
1776274540,5,0,5,0,7049922
1776274541,6,0,6,0,6940103
1776274542,7,0,7,0,6588586
1776274543,8,0,8,0,6775836
1776274544,9,0,9,0,6804468
1776274545,10,0,10,0,6685479
1776274546,11,0,11,0,6702654
1776274547,12,0,12,0,6657469
1776274548,13,0,13,0,6624054
1776274549,14,0,14,0,6476245
1776274550,15,0,15,0,6631097
1776274551,16,0,16,0,6601893
1776274552,3801,63,3738,0,40279574
1776274553,7499,56,7443,0,39862248
1776274554,11182,50,11132,0,39510272
1776274555,14594,48,14546,0,40009464
1776274556,18148,55,18094,0,40031354
1776274557,21715,18,21697,0,40250518
1776274558,25314,56,25258,0,40397640
1776274559,28911,56,28855,0,40031231
1776274560,32508,62,32446,0,40169815
1776274561,36131,49,36082,0,40151607
1776274562,39708,31,39678,0,40388177
1776274563,43347,55,43292,0,40561228
1776274564,46942,45,46897,0,40651804
1776274565,50552,56,50496,0,40672246
1776274566,54145,60,54086,0,40612478
1776274567,54356,0,54307,49,40608445
1776274568,54357,0,54308,49,40607775
1776274569,54358,0,54309,49,40607139
1776274570,54359,0,54310,49,40606527
1776274571,54360,0,54311,49,40605931
1776274572,54361,0,54312,49,40605312
1776274573,54362,0,54313,49,40604722
1776274574,54363,0,54314,49,40604049
1776274575,54364,0,54315,49,40603427
1776274576,54365,0,54316,49,40602794
1776274577,54366,0,54317,49,40602187
1776274578,54367,0,54318,49,40601552
1776274579,54368,0,54319,49,40600921
1776274580,54369,0,54320,49,40600275
1776274581,54370,0,54321,49,40599616
1776274582,54370,0,54321,49,40599616
