timestamp,handshake_num,status,handshake_cycles
1776272014,1,success,8282043
1776272015,2,success,20963448
1776272016,3,success,6645441
1776272017,4,success,7243830
1776272018,5,success,5017980
1776272019,6,success,7922409
1776272020,7,success,5018112
1776272021,8,success,3413619
1776272022,9,success,6043488
1776272023,10,success,6863472
1776272024,11,success,5555385
1776272025,12,success,4592445
1776272026,13,success,8404704
1776272027,14,success,3305874
1776272028,15,success,6691212
1776272029,16,success,3316302
1776272030,17,success,72512418
1776272031,18,success,17696613
1776272032,19,success,5391969
1776272033,20,success,28672512
1776272034,21,success,43294878
1776272035,22,success,34592118
1776272036,23,success,6868488
1776272037,24,success,7486248
1776272038,25,success,118185837
1776272039,26,success,32630301
1776272040,27,success,16746114
1776272041,28,success,22717563
1776272042,29,success,34847901
1776272043,30,success,16726611
1776272044,31,success,42772125
1776272045,32,success,7443183
1776272046,33,success,6657123
1776272047,34,success,6563634
1776272048,35,success,7789584
1776272049,36,success,6816150
1776272050,37,success,7231026
1776272051,38,success,7274718
1776272052,39,success,6145755
1776272053,40,success,6419358
1776272054,41,success,4115133
1776272055,42,success,7294023
1776272056,43,success,7208025
1776272057,44,success,7068303
1776272058,45,success,5160771
1776272059,46,success,4945974
