timestamp,handshake_num,status,handshake_cycles
1776277847,1,success,3742794
1776277848,2,success,2992869
1776277849,3,success,4097115
1776277850,4,success,4774836
1776277851,5,success,5291517
1776277852,6,success,5713752
1776277853,7,success,4761900
1776277854,8,success,3663891
1776277855,9,success,5263335
1776277856,10,success,3911259
1776277857,11,success,3811500
1776277858,12,success,4338279
1776277859,13,success,5262543
1776277860,14,success,5675934
1776277861,15,success,3520242
1776277862,16,success,4699497
1776277863,17,success,151391394
1776277864,18,success,315371892
1776277865,19,success,251748717
1776277866,20,success,161646936
1776277867,21,success,367268649
1776277868,22,success,117037635
1776277869,23,success,5381343
1776277870,24,success,342319032
1776277871,25,success,343942335
1776277872,26,success,307073217
1776277873,27,success,316553490
1776277875,28,success,273537462
1776277876,29,success,739066020
1776277877,30,success,327277863
1776277878,31,success,3456552
1776277879,32,success,4957524
1776277880,33,success,6554163
1776277881,34,success,2915649
1776277882,35,success,4356462
1776277883,36,success,4017948
1776277884,37,success,3493149
1776277885,38,success,4878093
1776277886,39,success,4672305
1776277887,40,success,5166183
1776277888,41,success,4287096
1776277889,42,success,3423453
1776277890,43,success,6240597
1776277891,44,success,4832157
1776277892,45,success,3218226
1776277893,46,success,5756751
