timestamp,handshake_num,status,handshake_cycles
1776275938,1,success,4574922
1776275939,2,success,3286371
1776275940,3,success,6794304
1776275941,4,success,5925744
1776275942,5,success,5861031
1776275943,6,success,6264126
1776275944,7,success,5322306
1776275945,8,success,5089788
1776275946,9,success,4887234
1776275947,10,success,5721969
1776275948,11,success,4250433
1776275949,12,success,5426421
1776275950,13,success,5894196
1776275951,14,success,6013821
1776275952,15,success,7558122
1776275953,16,success,3801171
1776275954,17,success,60269385
1776275955,18,success,66552090
1776275956,19,success,39202449
1776275957,20,success,118118319
1776275958,21,success,55683375
1776275959,22,success,10015731
1776275960,23,success,48530724
1776275961,24,success,10220067
1776275962,25,success,55612656
1776275963,26,success,72761931
1776275964,27,success,21758418
1776275965,28,success,41773941
1776275966,29,success,48447234
1776275967,30,success,42831855
1776275968,31,success,61499394
1776275969,32,success,3976071
1776275970,33,success,5748270
1776275971,34,success,6997485
1776275972,35,success,4931025
1776275973,36,success,8044278
1776275974,37,success,5104803
1776275975,38,success,6460212
1776275976,39,success,4632309
1776275977,40,success,5130708
1776275978,41,success,4628877
1776275979,42,success,6494730
1776275980,43,success,6495654
1776275981,44,success,4939209
1776275982,45,success,6147603
1776275983,46,success,5821464
